time_h,depth_0_m,depth_71_m,depth_89_m,depth_194_m,depth_287_m,depth_383_m,depth_456_m,water_level_0_m,water_level_71_m,water_level_89_m,water_level_194_m,water_level_287_m,water_level_383_m,water_level_456_m
0.000000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,0.080000,93.712000,92.523086,92.380163,90.712000,90.612000,90.098370,89.342000
0.016667,0.060103,0.080003,0.079978,0.081867,0.077275,0.079998,0.080000,93.692103,92.523089,92.380141,90.713867,90.609275,90.098367,89.342000
0.033333,0.077765,0.080007,0.079960,0.083743,0.074692,0.079995,0.080000,93.709765,92.523092,92.380124,90.715743,90.606692,90.098364,89.342000
0.050000,0.127330,0.080009,0.079950,0.084915,0.072981,0.079993,0.080000,93.759330,92.523094,92.380113,90.716915,90.604981,90.098363,89.342000
0.066667,0.193909,0.080010,0.079942,0.085825,0.071629,0.079992,0.080000,93.825909,92.523096,92.380105,90.717825,90.603629,90.098362,89.342000
0.083333,0.268434,0.080012,0.079935,0.086618,0.070474,0.079991,0.080000,93.900434,92.523097,92.380098,90.718618,90.602474,90.098361,89.342000
0.100000,0.346856,0.080013,0.079928,0.087335,0.069454,0.079990,0.080000,93.978856,92.523099,92.380091,90.719335,90.601454,90.098360,89.342000
0.116667,0.427332,0.080014,0.079922,0.087997,0.068535,0.079989,0.080000,94.059332,92.523100,92.380085,90.719997,90.600535,90.098359,89.342000
0.133333,0.508884,0.080015,0.079916,0.088612,0.067698,0.079988,0.080000,94.140884,92.523101,92.380079,90.720612,90.599698,90.098358,89.342000
0.150000,0.590884,0.080016,0.079911,0.089190,0.066928,0.079988,0.080000,94.222884,92.523102,92.380074,90.721190,90.598928,90.098357,89.342000
0.166667,0.672810,0.080017,0.079906,0.089736,0.066216,0.079987,0.080000,94.304810,92.523103,92.380069,90.721736,90.598216,90.098356,89.342000
0.183333,0.754180,0.080018,0.079902,0.090254,0.065552,0.079986,0.079999,94.386180,92.523104,92.380065,90.722254,90.597552,90.098356,89.341999
0.200000,0.834569,0.080019,0.079897,0.090747,0.064932,0.079986,0.079998,94.466569,92.523105,92.380060,90.722747,90.596932,90.098355,89.341998
0.216667,0.913579,0.080021,0.079893,0.091219,0.064350,0.079985,0.079995,94.545579,92.523107,92.380056,90.723219,90.596350,90.098355,89.341995
0.233333,0.990830,0.080022,0.079889,0.091672,0.063801,0.079984,0.079991,94.622830,92.523108,92.380052,90.723672,90.595801,90.098354,89.341991
0.250000,1.065968,0.080025,0.079885,0.092107,0.063283,0.079984,0.079983,94.697968,92.523110,92.380048,90.724107,90.595283,90.098353,89.341983
0.266667,1.138677,0.080027,0.079881,0.092526,0.062792,0.079983,0.079971,94.770677,92.523113,92.380044,90.724526,90.594792,90.098353,89.341971
0.283333,1.208680,0.080031,0.079877,0.092931,0.062326,0.079983,0.079954,94.840680,92.523117,92.380040,90.724931,90.594326,90.098352,89.341954
0.300000,1.275733,0.080036,0.079873,0.093323,0.061883,0.079982,0.079929,94.907733,92.523121,92.380036,90.725323,90.593883,90.098352,89.341929
0.316667,1.339611,0.080042,0.079869,0.093703,0.061461,0.079982,0.079896,94.971611,92.523127,92.380032,90.725703,90.593461,90.098351,89.341896
0.333333,1.400099,0.080049,0.079865,0.094071,0.061058,0.079981,0.079853,95.032099,92.523135,92.380028,90.726071,90.593058,90.098351,89.341853
0.350000,1.456980,0.080058,0.079861,0.094428,0.060672,0.079981,0.079799,95.088980,92.523144,92.380024,90.726428,90.592672,90.098350,89.341799
0.366667,1.510035,0.080069,0.079857,0.094776,0.060304,0.079980,0.079732,95.142035,92.523155,92.380020,90.726776,90.592304,90.098350,89.341732
0.383333,1.559046,0.080082,0.079853,0.095114,0.059950,0.079980,0.079650,95.191046,92.523168,92.380016,90.727114,90.591950,90.098350,89.341650
0.400000,1.603802,0.080097,0.079849,0.095444,0.059611,0.079980,0.079554,95.235802,92.523183,92.380012,90.727444,90.591611,90.098349,89.341554
0.416667,1.644098,0.080114,0.079845,0.095766,0.059285,0.079979,0.079442,95.276098,92.523200,92.380008,90.727766,90.591285,90.098349,89.341442
0.433333,1.679744,0.080134,0.079841,0.096080,0.058972,0.079979,0.079313,95.311744,92.523219,92.380004,90.728080,90.590972,90.098348,89.341313
0.450000,1.710564,0.080156,0.079836,0.096386,0.058670,0.079978,0.079168,95.342564,92.523242,92.379999,90.728386,90.590670,90.098348,89.341168
0.466667,1.736402,0.080180,0.079832,0.096686,0.058379,0.079978,0.079006,95.368402,92.523266,92.379995,90.728686,90.590379,90.098347,89.341006
0.483333,1.757125,0.080208,0.079827,0.096979,0.058099,0.079978,0.078827,95.389125,92.523293,92.379991,90.728979,90.590099,90.098347,89.340827
0.500000,1.772616,0.080238,0.079823,0.097266,0.057828,0.079977,0.078631,95.404616,92.523323,92.379986,90.729266,90.589828,90.098347,89.340631
0.516667,1.784277,0.080270,0.079818,0.097547,0.057567,0.079977,0.078419,95.416277,92.523356,92.379981,90.729547,90.589567,90.098346,89.340419
0.533333,1.794469,0.080306,0.079814,0.097822,0.057314,0.079976,0.078191,95.426469,92.523391,92.379977,90.729822,90.589314,90.098346,89.340191
0.550000,1.803517,0.080344,0.079809,0.098091,0.057069,0.079976,0.077948,95.435517,92.523429,92.379972,90.730091,90.589069,90.098346,89.339948
0.566667,1.811652,0.080385,0.079805,0.098356,0.056833,0.079976,0.077690,95.443652,92.523470,92.379968,90.730356,90.588833,90.098345,89.339690
0.583333,1.819027,0.080432,0.079800,0.098615,0.056603,0.079975,0.077418,95.451027,92.523517,92.379963,90.730615,90.588603,90.098345,89.339418
0.600000,1.825754,0.080551,0.079796,0.098870,0.056381,0.079975,0.077132,95.457754,92.523636,92.379959,90.730870,90.588381,90.098345,89.339132
0.616667,1.831922,0.081998,0.079791,0.099120,0.056166,0.079975,0.076835,95.463922,92.525084,92.379954,90.731120,90.588166,90.098344,89.338835
0.633333,1.837603,0.102458,0.079787,0.099366,0.055957,0.079974,0.076526,95.469603,92.545544,92.379950,90.731366,90.587957,90.098344,89.338526
0.650000,1.842859,0.216521,0.079783,0.099608,0.055754,0.079974,0.076206,95.474859,92.659607,92.379946,90.731608,90.587754,90.098344,89.338206
0.666667,1.847742,0.414654,0.079779,0.099846,0.055557,0.079974,0.075877,95.479742,92.857740,92.379942,90.731846,90.587557,90.098343,89.337877
0.683333,1.852293,0.596830,0.079775,0.100080,0.055365,0.079973,0.075539,95.484293,93.039915,92.379938,90.732080,90.587365,90.098343,89.337539
0.700000,1.856552,0.743875,0.079772,0.100310,0.055179,0.079973,0.075192,95.488552,93.186961,92.379935,90.732310,90.587179,90.098343,89.337192
0.716667,1.860550,0.819054,0.079771,0.100537,0.054997,0.079973,0.074839,95.492550,93.262139,92.379934,90.732537,90.586997,90.098342,89.336839
